Model,Status,Certified since version,Year
Dell Inspiron 3505,Certified,103,2030
Dell Inspiron N5010,Decertified,103,2023
Dell Latitude 3120,Certified,107,2029
Dell Latitude 3150,Certified,103,2026
Dell Latitude 3160,Certified,103,2027
Dell Latitude 3180,Certified,103,2028
Dell Latitude 3189,Certified,103,2027
Dell Latitude 3190,Certified,103,2028
Dell Latitude 3190 2-in-1,Certified,103,2028
Dell Latitude 3300,Certified,103,2028
Dell Latitude 3310,Certified,115,2028
Dell Latitude 3330,Certified,104,2025
Dell Latitude 3340,Certified,103,2026
Dell Latitude 3350,Certified,103,2027
Dell Latitude 3380,Certified,103,2028
Dell Latitude 3390 2-in-1,Certified,103,2028
Dell Latitude 3400,Certified,103,2028
Dell Latitude 3410,Certified,103,2028
Dell Latitude 3420,Certified,103,2030
Dell Latitude 3440 (2014),Certified,103,2026
Dell Latitude 3450,Certified,103,2027
Dell Latitude 3460,Certified,103,2027
Dell Latitude 3470,Certified,103,2027
Dell Latitude 3480,Certified,103,2027
Dell Latitude 3490,Certified,103,2028
Dell Latitude 3510,Certified,103,2028
Dell Latitude 3520,Certified,120,2030
Dell Latitude 3550,Certified,111,2027
Dell Latitude 5290,Certified,103,2028
Dell Latitude 5290 2-in-1,Certified,103,2028
Dell Latitude 5300 2-in-1,Certified,103,2028
Dell Latitude 5310,Certified,112,2030
Dell Latitude 5320,Certified,112,2028
Dell Latitude 5400,Certified,103,2028
Dell Latitude 5410,Certified,112,2028
Dell Latitude 5411,Certified,112,2028
Dell Latitude 5420,Certified,103,2030
Dell Latitude 5480,Certified,127,2028
Dell Latitude 5490,Certified,127,2028
Dell Latitude 5500,Certified,103,2028
Dell Latitude 5510,Certified,108,2028
Dell Latitude 5520,Certified,103,2030
Dell Latitude 5530,Certified,116,2030
Dell Latitude 5580,Certified,103,2028
Dell Latitude 5590,Certified,103,2028
Dell Latitude 7280,Certified,103,2027
Dell Latitude 7300,Certified,125,2028
Dell Latitude 7310,Certified,113,2028
Dell Latitude 7380,Certified,114,2028
Dell Latitude 7400,Certified,103,2028
Dell Latitude 7420,Certified,103,2030
Dell Latitude 7480,Certified,103,2028
Dell Latitude 7490,Minor issues expected,,2028
Dell Latitude E5410,Decertified,103,2023
Dell Latitude E5420,Certified,103,2024
Dell Latitude E5430,Certified,103,2025
Dell Latitude E5440,Certified,103,2026
Dell Latitude E5450,Certified,103,2027
Dell Latitude E5470,Certified,103,2027
Dell Latitude E5510,Decertified,103,2023
Dell Latitude E5520,Certified,103,2024
Dell Latitude E5530,Certified,103,2025
Dell Latitude E5540,Certified,103,2026
Dell Latitude E5570,Certified,104,2027
Dell Latitude E6230,Certified,103,2025
Dell Latitude E6410,Decertified,103,2023
Dell Latitude E6420,Certified,103,2025
Dell Latitude E6430,Certified,103,2025
Dell Latitude E6440,Certified,103,2026
Dell Latitude E6510,Minor issues expected,,2024
Dell Latitude E6520,Certified,103,2024
Dell Latitude E7240,Certified,103,2026
Dell Latitude E7270,Certified,103,2027
Dell Latitude E7440,Certified,103,2026
Dell Latitude E7450,Certified,103,2027
Dell Latitude E7470,Certified,103,2027
Dell OptiPlex 3030 AIO,Certified,103,2026
Dell OptiPlex 3240 AIO,Certified,103,2027
Dell OptiPlex 5050,Certified,103,2027
Dell Optiplex 3000 Thin Client,Certified,105,2029
Dell Optiplex 3010,Certified,103,2025
Dell Optiplex 3011 AIO,Certified,103,2025
Dell Optiplex 3020,Certified,103,2026
Dell Optiplex 3040,Certified,103,2027
Dell Optiplex 3046,Certified,103,2027
Dell Optiplex 3050,Certified,103,2028
Dell Optiplex 3060,Certified,103,2028
Dell Optiplex 3070,Certified,103,2028
Dell Optiplex 3080,Certified,103,2028
Dell Optiplex 3090,Certified,103,2028
Dell Optiplex 3280 AIO,Certified,103,2028
Dell Optiplex 390,Certified,103,2024
Dell Optiplex 5000,Certified,103,2030
Dell Optiplex 5040,Certified,103,2027
Dell Optiplex 5060,Certified,103,2028
Dell Optiplex 5070,Certified,103,2028
Dell Optiplex 5080,Certified,103,2028
Dell Optiplex 5090,Certified,105,2029
Dell Optiplex 5250 AIO,Certified,103,2028
Dell Optiplex 5270 AIO,Certified,103,2028
Dell Optiplex 5480 AIO,Certified,103,2028
Dell Optiplex 580,Decertified,103,2023
Dell Optiplex 7000,Certified,119,2030
Dell Optiplex 7010,Certified,103,2025
Dell Optiplex 7020,Certified,103,2026
Dell Optiplex 7040,Certified,103,2027
Dell Optiplex 7050,Certified,103,2027
Dell Optiplex 7060,Certified,103,2028
Dell Optiplex 7070,Certified,103,2028
Dell Optiplex 7080,Certified,103,2028
Dell Optiplex 7090,Certified,118,2030
Dell Optiplex 7400,Certified,117,2030
Dell Optiplex 7410 AIO,Certified,125,2030
Dell Optiplex 7420 AIO,Certified,129,2032
Dell Optiplex 7440 AIO,Certified,105,2027
Dell Optiplex 7450 AIO,Certified,103,2028
Dell Optiplex 7460 AIO,Certified,119,2028
Dell Optiplex 7470 AIO,Certified,125,2028
Dell Optiplex 7480 AIO,Certified,125,2028
Dell Optiplex 7490 AIO,Certified,126,2028
Dell Optiplex 790,Certified,103,2024
Dell Optiplex 9010,Certified,103,2025
Dell Optiplex 9020,Certified,103,2026
Dell Optiplex 9020 AIO,Certified,103,2026
Dell Optiplex 9030 AIO,Certified,103,2026
Dell Optiplex 980,Decertified,103,2023
Dell Optiplex 990,Certified,103,2024
Dell Vostro 15 3568,Certified,103,2028
Dell Vostro 3401,Certified,115,2028
Dell Vostro 3470,Certified,103,2028
Dell Vostro 3550,Certified,103,2024
Dell Vostro 3560,Certified,103,2025
Dell Vostro 3671,Certified,104,2028
Dell Wyse 5060 Thin Client,Certified,103,2027
Dell Wyse 5070 Thin Client,Certified,103,2028
Dell Wyse 5070 Thin Client Extended Chassis,Certified,103,2028
Dell Wyse 5470 AIO,Certified,111,2028
Dell Wyse 5470 Mobile Thin Client,Certified,103,2028
Dell Wyse 7020 Thin Client,Certified,103,2027
Dell XPS 13 2-in-1 9365,Certified,103,2028
Dell XPS 13 9300,Certified,103,2029
Dell XPS 13 9310,Certified,103,2030
Dell XPS 13 9380,Certified,103,2028
Delphi Endura 15X Model 9330-150-A01,Certified,125,2026
Dynabook K50,Certified,112,2028
Dynabook R73/F,Certified,112,2027
ECS LIVA Q2,Certified,104,2028
ECS Liva X BAT2NBW,Certified,103,2026
Elo 15-inch-I-Series 3 (Intel E606511),Certified,128,2030
Elo 19M2 Rev A,Certified,103,2024
Elo 22-inch I-Series,Certified,113,2028
Elo ECMG4,Certified,114,2028
Elo ESY 15i2,Certified,111,2028
Elo ESY 15i3,Certified,113,2028
Elo ESY 15i5,Certified,112,2028
Elo I-Series 2 E550870,Certified,128,2028
Fujitsu Esprimo Q556/2,Certified,119,2027
Fujitsu Futro s720 Thin Client,Certified,103,2027
Fujitsu Lifebook A574/H,Certified,103,2026
Fujitsu Lifebook A576/TX,Certified,110,2027
Fujitsu Lifebook A743/G,Certified,103,2025
